community_id,size,tweet_count,dominant_emotion,dominant_agreement,entropy_bits,n_joy,n_sadness,n_anger,n_fear,n_disgust,n_surprise,n_neutral
7,5014,9476,neutral,0.3785,2.252,1496,444,440,263,39,434,1898
6,4888,9591,neutral,0.4178,2.1678,1434,400,374,215,41,382,2042
2,2907,6748,neutral,0.5067,1.9755,759,163,188,96,20,208,1473
0,2408,4175,neutral,0.4236,2.1989,662,195,203,129,24,175,1020
1,1940,3425,neutral,0.3995,2.2325,542,191,181,97,14,140,775
24,1403,2398,neutral,0.3885,2.286,380,135,128,77,14,124,545
11,1189,2000,neutral,0.4449,2.1418,320,76,83,68,7,106,529
26,1097,1833,neutral,0.3747,2.2671,320,79,131,59,10,87,411
36,824,1351,neutral,0.4223,2.2041,225,68,64,43,8,68,348
14,691,1268,joy,0.3488,2.2643,241,52,85,34,4,58,217
43,689,1158,neutral,0.4122,2.2116,196,62,59,33,9,46,284
3,682,1280,neutral,0.4355,2.1574,181,72,50,24,5,53,297
5,677,1162,neutral,0.4284,2.1372,195,43,40,48,2,59,290
20,629,1178,neutral,0.3943,2.1252,201,58,65,27,1,29,248
50,563,1094,neutral,0.3943,2.2231,163,49,55,25,4,45,222
35,418,670,neutral,0.3708,2.3019,125,37,37,19,10,35,155
8,370,636,neutral,0.4108,2.215,104,33,35,22,4,20,152
30,346,686,neutral,0.4249,2.163,96,24,24,20,1,34,147
64,330,729,neutral,0.3727,2.2085,108,23,25,22,2,27,123
45,312,545,neutral,0.4327,2.1274,83,24,37,14,0,19,135
17,309,585,neutral,0.4272,2.0038,107,13,12,16,2,27,132
18,268,596,neutral,0.4216,2.221,66,30,21,10,2,26,113
25,253,609,neutral,0.4585,1.7979,96,17,7,8,1,8,116
47,170,286,neutral,0.3706,2.2589,52,19,11,14,2,9,63
44,163,276,neutral,0.4233,2.1404,50,8,16,8,3,9,69
15,142,277,neutral,0.3451,2.3298,35,16,23,9,0,10,49
34,85,201,neutral,0.3882,2.2239,23,9,10,6,0,4,33
37,81,151,neutral,0.3951,2.066,26,8,10,3,0,2,32
41,54,101,neutral,0.4259,2.1438,14,4,7,2,0,4,23
55,20,27,neutral,0.8,0.8842,3,0,1,0,0,0,16
57,16,25,sadness,0.375,2.0079,0,6,3,1,0,1,5
89,14,40,joy,0.7857,0.7496,11,0,0,0,0,0,3
83,13,28,neutral,0.4615,1.4605,5,0,2,0,0,0,6
100,12,26,joy,0.5,1.0,6,0,0,0,0,0,6
68,12,31,surprise,0.3333,1.585,4,0,0,0,0,4,4
69,11,21,joy,0.4545,2.0404,5,0,2,1,0,2,1
63,10,18,neutral,0.5,1.761,2,0,1,2,0,0,5
87,10,20,neutral,0.6,1.571,1,0,1,2,0,0,6
76,10,18,joy,0.7,0.8813,7,0,0,0,0,0,3
52,9,13,neutral,0.5556,1.3516,3,0,0,0,0,1,5
112,9,11,neutral,0.5556,1.6577,1,0,1,0,0,2,5
27,9,9,neutral,0.4444,1.5305,3,2,0,0,0,0,4
33,8,26,joy,0.5,1.4056,4,0,1,0,0,0,3
114,8,9,joy,0.375,1.8113,3,1,0,0,0,1,3
59,8,9,neutral,0.5,1.75,2,0,0,1,0,1,4
107,8,12,neutral,0.375,2.1556,1,2,0,1,0,1,3
13,7,8,joy,0.8571,0.5917,6,0,0,0,0,0,1
73,7,63,neutral,0.5714,1.6645,1,1,1,0,0,0,4
105,7,21,neutral,0.2857,2.2359,0,1,1,2,1,0,2
85,7,12,joy,0.5714,1.3788,4,0,0,1,0,0,2
71,7,9,joy,0.5714,1.3788,4,0,0,0,0,2,1
90,6,7,joy,0.6667,1.2516,4,0,0,0,0,1,1
40,6,7,neutral,0.3333,1.9183,1,2,1,0,0,0,2
46,6,10,neutral,0.5,1.0,3,0,0,0,0,0,3
77,6,6,surprise,0.5,1.7925,1,1,1,0,0,3,0
111,6,6,neutral,0.3333,1.9183,2,0,1,1,0,0,2
103,6,7,neutral,0.5,1.7925,1,1,0,0,0,1,3
94,6,14,joy,0.5,1.4591,3,0,1,0,0,0,2
60,6,6,sadness,0.5,1.4591,1,3,0,0,0,0,2
82,6,14,joy,0.5,1.4591,3,0,0,2,0,0,1
78,5,8,joy,0.4,1.5219,2,0,0,1,0,0,2
99,5,6,neutral,0.6,1.371,1,0,0,1,0,0,3
66,5,8,neutral,0.6,1.371,1,0,1,0,0,0,3
80,5,15,neutral,0.6,1.371,1,0,0,0,0,1,3
84,5,6,neutral,0.8,0.7219,1,0,0,0,0,0,4
65,5,6,surprise,0.4,1.9219,1,0,1,0,0,2,1
92,5,8,joy,0.4,1.9219,2,1,1,0,0,0,1
28,5,15,neutral,0.6,1.371,1,0,0,0,0,1,3
22,5,5,joy,0.6,1.371,3,0,1,0,0,1,0
97,5,8,neutral,0.6,1.371,0,0,0,1,0,1,3
74,5,5,sadness,0.4,1.5219,1,2,0,2,0,0,0
81,4,5,joy,0.5,1.0,2,0,0,0,0,0,2
115,4,5,neutral,0.5,1.5,1,0,0,1,0,0,2
113,4,5,neutral,0.5,1.5,1,0,0,1,0,0,2
116,4,4,surprise,0.25,2.0,1,1,0,0,0,1,1
39,4,7,neutral,1.0,-0.0,0,0,0,0,0,0,4
12,4,4,neutral,1.0,-0.0,0,0,0,0,0,0,4
49,4,6,neutral,0.5,1.5,1,0,1,0,0,0,2
110,4,4,neutral,0.5,1.5,1,1,0,0,0,0,2
54,4,4,neutral,0.75,0.8113,0,0,1,0,0,0,3
48,4,4,anger,0.5,1.0,0,0,2,0,0,0,2
53,4,5,sadness,0.25,2.0,0,1,1,0,1,1,0
38,4,5,anger,0.25,2.0,0,1,1,1,0,1,0
75,4,8,neutral,0.5,1.5,1,0,1,0,0,0,2
51,4,6,joy,0.5,1.5,2,0,1,0,0,0,1
96,4,8,sadness,0.5,1.5,0,2,1,1,0,0,0
70,4,5,joy,0.5,1.5,2,1,1,0,0,0,0
93,4,7,neutral,0.5,1.0,2,0,0,0,0,0,2
21,3,3,joy,0.6667,0.9183,2,0,0,0,0,0,1
9,3,3,joy,1.0,-0.0,3,0,0,0,0,0,0
4,3,4,neutral,0.6667,0.9183,0,0,0,0,0,1,2
42,3,4,sadness,0.3333,1.585,0,1,0,0,0,1,1
10,3,4,joy,1.0,-0.0,3,0,0,0,0,0,0
19,3,8,neutral,1.0,-0.0,0,0,0,0,0,0,3
16,3,3,neutral,0.6667,0.9183,1,0,0,0,0,0,2
29,3,3,neutral,0.6667,0.9183,0,0,0,0,0,1,2
23,3,13,joy,0.3333,1.585,1,1,0,0,0,0,1
67,3,3,joy,1.0,-0.0,3,0,0,0,0,0,0
79,3,5,sadness,0.3333,1.585,0,1,0,0,0,1,1
62,3,4,joy,0.6667,0.9183,2,0,0,0,0,0,1
88,3,10,surprise,0.3333,1.585,1,0,1,0,0,1,0
91,3,3,neutral,0.3333,1.585,1,0,1,0,0,0,1
98,3,12,neutral,0.6667,0.9183,1,0,0,0,0,0,2
101,3,6,neutral,0.6667,0.9183,0,0,0,1,0,0,2
102,3,3,neutral,0.6667,0.9183,0,0,1,0,0,0,2
104,3,5,neutral,1.0,-0.0,0,0,0,0,0,0,3
72,3,5,fear,0.3333,1.585,0,0,0,1,0,1,1
106,3,3,joy,1.0,-0.0,3,0,0,0,0,0,0
108,3,3,neutral,0.6667,0.9183,1,0,0,0,0,0,2
109,3,4,neutral,1.0,-0.0,0,0,0,0,0,0,3
86,3,3,joy,0.3333,1.585,1,0,0,1,0,1,0
118,3,3,joy,0.3333,1.585,1,1,1,0,0,0,0
61,3,4,neutral,0.6667,0.9183,1,0,0,0,0,0,2
117,3,5,joy,0.3333,1.585,1,0,1,0,0,1,0
58,2,6,joy,0.5,1.0,1,0,0,0,0,0,1
31,2,2,joy,1.0,-0.0,2,0,0,0,0,0,0
32,2,5,fear,0.5,1.0,0,0,0,1,0,0,1
95,2,3,joy,0.5,1.0,1,0,0,0,0,0,1
56,2,5,neutral,0.5,1.0,1,0,0,0,0,0,1
